workload,reference,anon_fault,file_fault,swap_in,tlb_shootdown
pf_anon_write,pf_anon_write,2.3005,1.1820,0.0000,-0.0208
pf_anon_write,pf_cow,2.7361,0.2889,0.0000,-1.0984
pf_anon_write,pf_major,131.5769,-467.9275,0.0000,-5.1692
pf_anon_write,pf_page_cache,112.6837,-154.6253,0.0000,-0.1682
pf_anon_write,pf_zero_page,233.7630,0.9941,0.0000,1.0057
pf_cow,pf_anon_write,-0.1837,1.6787,0.0000,3.4228
pf_cow,pf_cow,1.1309,0.9341,0.0000,0.8354
pf_cow,pf_major,130.5852,-467.2201,0.0000,-2.2023
pf_cow,pf_page_cache,111.8420,-153.4327,0.0000,4.0508
pf_cow,pf_zero_page,228.7607,1.6087,0.0000,8.1698
pf_major,pf_anon_write,-331.2047,330.1143,0.0000,2.8654
pf_major,pf_cow,-212.7511,427.4708,0.0000,0.5224
pf_major,pf_major,-1.5604,0.4979,0.0000,-2.6825
pf_major,pf_page_cache,-0.3163,635.0278,0.0000,3.3679
pf_major,pf_zero_page,-437.7831,407.9604,0.0000,7.0100
pf_page_cache,pf_anon_write,-321.2209,79.7875,0.0000,0.5053
pf_page_cache,pf_cow,-206.3002,102.3733,0.0000,-0.8030
pf_page_cache,pf_major,2.4252,-355.9871,0.0000,-4.7159
pf_page_cache,pf_page_cache,3.0665,34.0794,0.0000,0.4763
pf_page_cache,pf_zero_page,-417.6797,98.2475,0.0000,2.1001
pf_zero_page,pf_anon_write,-113.1900,-0.5617,0.0000,-0.9286
pf_zero_page,pf_cow,-71.8856,-1.9755,0.0000,-1.6082
pf_zero_page,pf_major,85.4724,-470.4107,0.0000,-5.9514
pf_zero_page,pf_page_cache,73.5526,-158.8112,0.0000,-1.2806
pf_zero_page,pf_zero_page,1.2114,-1.1632,0.0000,-0.8830
