workload,reference,minor,cow,thp_collapse
pf_anon_write,pf_anon_write,0.3527,1.0651,0.0000
pf_anon_write,pf_cow,1.6487,-2.1529,0.0000
pf_anon_write,pf_major,107.5383,-0.8679,0.0000
pf_anon_write,pf_page_cache,48.5529,0.2525,0.0000
pf_anon_write,pf_zero_page,197.1103,0.7574,0.0000
pf_cow,pf_anon_write,4.3806,7.4246,0.0000
pf_cow,pf_cow,5.0122,4.3005,0.0000
pf_cow,pf_major,108.9153,7.9729,0.0000
pf_cow,pf_page_cache,49.1575,5.3317,0.0000
pf_cow,pf_zero_page,204.7148,7.7602,0.0000
pf_major,pf_anon_write,-327.7011,0.3718,0.0000
pf_major,pf_cow,-272.2967,-2.8565,0.0000
pf_major,pf_major,-4.6051,-1.8317,0.0000
pf_major,pf_page_cache,-0.6845,-0.3012,0.0000
pf_major,pf_zero_page,-422.2427,-0.0061,0.0000
pf_page_cache,pf_anon_write,-313.0702,0.9091,0.0000
pf_page_cache,pf_cow,-260.0790,-2.3112,0.0000
pf_page_cache,pf_major,0.3964,-1.0848,0.0000
pf_page_cache,pf_page_cache,1.5114,0.1279,0.0000
pf_page_cache,pf_zero_page,-394.6201,0.5856,0.0000
pf_zero_page,pf_anon_write,-103.8358,-1.0983,0.0000
pf_zero_page,pf_cow,-85.3552,-4.3484,0.0000
pf_zero_page,pf_major,71.9221,-3.8755,0.0000
pf_zero_page,pf_page_cache,32.9153,-1.4754,0.0000
pf_zero_page,pf_zero_page,0.4064,-1.6249,0.0000
