workload,reference,minor,cow,thp_collapse
gups,gups,107.9632,-0.0275,0.0000
gups,stream,107.9329,0.0560,0.0000
gups,pf_anon_write,-367.4171,-15.2799,0.0000
gups,llama_cpp,-1299.2269,-110.7601,0.0000
gups,fork_storm,-19.5362,-967.6556,0.0000
stream,gups,17.7318,-0.0828,0.0000
stream,stream,17.7015,0.0007,0.0000
stream,pf_anon_write,-408.1571,-15.2864,0.0000
stream,llama_cpp,-1371.2784,-110.7654,0.0000
stream,fork_storm,-24.8071,-967.6900,0.0000
pf_anon_write,gups,913.6753,136.7957,0.0000
pf_anon_write,stream,913.6450,136.8791,0.0000
pf_anon_write,pf_anon_write,-3.6328,0.7918,0.0000
pf_anon_write,llama_cpp,-655.8502,-97.5928,0.0000
pf_anon_write,fork_storm,27.5301,-882.7065,0.0000
llama_cpp,gups,1728.6301,1162.6042,0.0000
llama_cpp,stream,1728.5998,1162.6876,0.0000
llama_cpp,pf_anon_write,364.3245,121.2869,0.0000
llama_cpp,llama_cpp,-5.0931,1.1266,0.0000
llama_cpp,fork_storm,75.1363,-245.8151,0.0000
fork_storm,gups,440.5110,1562.6686,0.0000
fork_storm,stream,440.4807,1562.7521,0.0000
fork_storm,pf_anon_write,-217.2696,168.2799,0.0000
fork_storm,llama_cpp,-1033.6811,39.6271,0.0000
fork_storm,fork_storm,-0.1102,2.5720,0.0000
