workload,reference,anon_fault,file_fault,swap_in,tlb_shootdown
gups,gups,107.5623,-0.0003,0.0000,0.0137
gups,stream,107.6205,0.3536,0.0000,0.0599
gups,pf_anon_write,-405.0511,-47.3924,0.0000,-4.5913
gups,llama_cpp,-1495.4683,-856.5725,0.0000,-155.6617
gups,fork_storm,-1206.3840,-263.9002,0.0000,-494.3207
stream,gups,17.8349,-0.3545,0.0000,-0.0455
stream,stream,17.8931,-0.0006,0.0000,0.0006
stream,pf_anon_write,-449.6118,-47.4798,0.0000,-4.5951
stream,llama_cpp,-1577.7256,-856.7437,0.0000,-155.6687
stream,fork_storm,-1277.8864,-263.9656,0.0000,-494.3411
pf_anon_write,gups,911.6691,197.8712,0.0000,67.2342
pf_anon_write,stream,911.7273,198.2250,0.0000,67.2803
pf_anon_write,pf_anon_write,-5.7132,1.4354,0.0000,-0.2667
pf_anon_write,llama_cpp,-758.3073,-760.9171,0.0000,-147.8042
pf_anon_write,fork_storm,-565.6036,-227.3856,0.0000,-471.1794
llama_cpp,gups,1733.7780,1788.3846,0.0000,1325.7736
llama_cpp,stream,1733.8362,1788.7384,0.0000,1325.8198
llama_cpp,pf_anon_write,402.5650,393.9193,0.0000,80.7007
llama_cpp,llama_cpp,-4.6428,7.9723,0.0000,-0.6904
llama_cpp,fork_storm,89.5224,66.1230,0.0000,-37.9150
fork_storm,gups,1625.6898,1433.5001,0.0000,1444.4377
fork_storm,stream,1625.7480,1433.8539,0.0000,1444.4839
fork_storm,pf_anon_write,348.8859,306.3460,0.0000,88.3349
fork_storm,llama_cpp,-103.7322,-163.5867,0.0000,13.1806
fork_storm,fork_storm,3.3886,0.6336,0.0000,2.9363
